nome,estado,regiao,partido,posicao,gastos.total,presencas.total
Francisco Floriano De Sousa Silva,RJ,Sudeste,PR,Independente,96524.17,174
Francisco Ednaldo Praciano,AM,Norte,PT,Governo,89460.28,190
Gabriel Benedito Issaac Chalita,SP,Sudeste,PMDB,Governo,58859.98,188
Gabriel Moreira De Andrade,MG,Sudeste,PT,Governo,113754.89,179
Genecias Mateus Noronha,CE,Nordeste,PMDB,Governo,68807.59,154
George Hilton Dos Santos Cecílio,MG,Sudeste,PRB,Governo,142162.19,176
Geraldo Resende Pereira,MS,Centro-oeste,PMDB,Governo,142124.6,184
Alfredo Helio Syrkis,RJ,Sudeste,PV,Independente,77137.32,166
Geraldo Simões De Oliveira,BA,Nordeste,PT,Governo,124561.25,166
Geraldo Thadeu Pedreira Dos Santos,MG,Sudeste,PSD,Independente,150346.36,176
Fernando Lúcio Giacobo,PR,Sul,PR,Independente,137328.99,174
Gilmar Alves Machado,MG,Sudeste,PT,Governo,133770.9,187
Giovani Cherini,RS,Sul,PDT,Governo,81394.12,156
Giovanni Corrêa Queiroz,PA,Norte,PDT,Governo,149211.44,135
Edson Giroto,MS,Centro-oeste,PMDB,Governo,110771.59,198
Givaldo De Sá Gouveia,AL,Nordeste,PSB,Governo,99244.51,166
Gladson De Lima Cameli,AC,Norte,PP,Governo,97767.75,135
Glauber De Medeiros Braga,RJ,Sudeste,PSB,Governo,94237.08,179
Alice Mazzuco Portugal,BA,Nordeste,PC do B,Governo,77764.08,176
Luiz Gonzaga Patriota,PE,Nordeste,PSB,Governo,143986.78,163
Maria Gorete Pereira,CE,Nordeste,PR,Independente,122931.23,167
Guilherme Campos Júnior,SP,Sudeste,PSD,Independente,97376.9,200
Guilherme Mussi Ferreira,SP,Sudeste,PSD,Independente,104515.81,147
José Heleno Da Silva,SE,Nordeste,PRB,Governo,129330.96,181
Hélio Batista Dos Santos,MA,Nordeste,PSD,Independente,92928.44,174
Henrique Afonso Soares Lima,AC,Norte,PV,Independente,69301.01,167
Henrique Eduardo Lyra Alves,RN,Nordeste,PMDB,Governo,102641.19,111
Henrique Fontana Júnior,RS,Sul,PT,Governo,112870.82,159
José Henrique Oliveira,AM,Norte,PR,Independente,98902.9,174
Aline Lemos Corrêa De Oliveira Andrade,SP,Sudeste,PP,Governo,148692.28,134
José Abelardo Guimarães Camarinha,SP,Sudeste,PSB,Governo,138893.83,93
Hermes Parcianello,PR,Sul,PMDB,Governo,72956.12,202
Heuler Abreu Cruvinel,GO,Centro-oeste,PSD,Independente,104842.99,163
Homero Alves Pereira,MT,Centro-oeste,PSD,Independente,114404.74,184
Hugo Leal Melo Da Silva,RJ,Sudeste,PSC,Governo,111751.14,175
Hugo Motta Wanderley Da Nóbrega,PB,Nordeste,PMDB,Governo,112033.12,181
